wave,trans
18550.0,0.000000
18600.0,0.000027
18800.0,0.000799
18950.0,0.005989
19000.0,0.010673
19050.0,0.018233
19100.0,0.029864
19150.0,0.046873
19250.0,0.102289
19300.0,0.142401
19350.0,0.191003
19400.0,0.247085
19500.0,0.373862
19600.0,0.500373
19650.0,0.556162
19700.0,0.604791
19750.0,0.644610
19800.0,0.675858
19900.0,0.715944
19950.0,0.727282
20000.0,0.734948
20050.0,0.739446
20150.0,0.743545
20250.0,0.744770
20450.0,0.745914
20550.0,0.746686
20700.0,0.747724
20950.0,0.749987
21000.0,0.750466
21150.0,0.752728
21200.0,0.753660
21350.0,0.755736
21500.0,0.757493
21550.0,0.757652
21750.0,0.757679
21800.0,0.757360
21900.0,0.756561
22000.0,0.756268
22100.0,0.755337
22200.0,0.753234
22250.0,0.751238
22400.0,0.741869
22450.0,0.735693
22500.0,0.726910
22600.0,0.698749
22700.0,0.650546
22750.0,0.617381
22800.0,0.577988
22850.0,0.532739
22900.0,0.482566
23100.0,0.264360
23150.0,0.214480
23200.0,0.169470
23250.0,0.130423
23350.0,0.071014
23450.0,0.034442
23500.0,0.022891
23550.0,0.014772
23600.0,0.009236
23650.0,0.005590
23800.0,0.001038
24100.0,0.000027
24150.0,0.000000
