wave,trans
13100.0,0.000000
13200.0,0.000080
13250.0,0.000240
13300.0,0.000745
13400.0,0.005031
13450.0,0.011445
13500.0,0.023982
13600.0,0.081847
13650.0,0.134070
13700.0,0.203726
13800.0,0.380916
13850.0,0.474208
13950.0,0.629119
14000.0,0.681847
14050.0,0.717594
14100.0,0.739659
14150.0,0.752063
14200.0,0.758717
14250.0,0.762417
14400.0,0.765132
14500.0,0.765025
14600.0,0.765611
14850.0,0.766782
14950.0,0.767394
15000.0,0.767554
15150.0,0.768645
15350.0,0.770668
15600.0,0.773197
15650.0,0.773436
15800.0,0.774661
15850.0,0.775220
16150.0,0.780995
16200.0,0.782087
16350.0,0.786186
16500.0,0.789060
16550.0,0.790152
16650.0,0.791562
16750.0,0.792760
17000.0,0.794969
17050.0,0.795502
17100.0,0.795795
17150.0,0.795369
17200.0,0.794357
17250.0,0.791270
17450.0,0.735001
17550.0,0.655896
17600.0,0.599814
17700.0,0.460154
17750.0,0.383471
17800.0,0.307799
17850.0,0.237477
17900.0,0.175459
17950.0,0.124009
18000.0,0.083631
18200.0,0.010620
18250.0,0.005590
18350.0,0.001304
18400.0,0.000586
18500.0,0.000106
18600.0,0.000027
18650.0,0.000000
