wave,trans
7200.0,0.000000
7250.0,0.000027
7300.0,0.000240
7350.0,0.001517
7400.0,0.007506
7500.0,0.080490
7550.0,0.179026
7600.0,0.315890
7650.0,0.456668
7700.0,0.564147
7750.0,0.625393
7800.0,0.650253
7900.0,0.659755
8000.0,0.661166
8050.0,0.664040
8150.0,0.670987
8300.0,0.680570
8350.0,0.682406
8400.0,0.684615
8500.0,0.690232
8550.0,0.694783
8600.0,0.699601
8800.0,0.720442
8950.0,0.734229
9000.0,0.737663
9150.0,0.746686
9200.0,0.748656
9250.0,0.749587
9400.0,0.749082
9450.0,0.746819
9500.0,0.740990
9550.0,0.726803
9600.0,0.695608
9650.0,0.636252
9700.0,0.543998
9750.0,0.423902
9800.0,0.294996
9850.0,0.179904
9900.0,0.094863
9950.0,0.042827
10000.0,0.016423
10050.0,0.005323
10100.0,0.001437
10200.0,0.000053
10250.0,0.000000
