wave,trans
8800.0,0.000000
8850.0,0.000027
8900.0,0.000240
8950.0,0.001171
9000.0,0.004738
9050.0,0.015810
9100.0,0.043625
9150.0,0.100373
9200.0,0.194251
9250.0,0.319989
9300.0,0.456694
9350.0,0.577322
9400.0,0.662976
9450.0,0.712350
9500.0,0.735081
9550.0,0.743466
9650.0,0.745781
9750.0,0.744477
9850.0,0.742933
10000.0,0.740378
10050.0,0.739925
10200.0,0.738808
10500.0,0.737264
10550.0,0.737290
10700.0,0.737690
10900.0,0.738967
11050.0,0.739367
11100.0,0.739367
11350.0,0.740511
11400.0,0.740671
11450.0,0.740564
11550.0,0.738568
11600.0,0.733724
11700.0,0.700186
11800.0,0.599335
11850.0,0.515464
11900.0,0.415331
11950.0,0.309742
12000.0,0.211578
12050.0,0.131381
12150.0,0.037211
12200.0,0.016795
12300.0,0.002422
12350.0,0.000772
12450.0,0.000053
12500.0,0.000000
