wave,trans
16000.0,0.000000
16050.0,0.000027
16200.0,0.000506
16350.0,0.005456
16400.0,0.010727
16450.0,0.019856
16500.0,0.034709
16550.0,0.057439
16600.0,0.089992
16650.0,0.133777
16700.0,0.188981
16800.0,0.326377
16850.0,0.401703
16950.0,0.542055
17000.0,0.600000
17050.0,0.646793
17100.0,0.682300
17150.0,0.707506
17200.0,0.724754
17250.0,0.735427
17300.0,0.741789
17400.0,0.747644
17450.0,0.748523
17650.0,0.748336
17750.0,0.746846
17800.0,0.746074
17900.0,0.745036
18000.0,0.743705
18150.0,0.742986
18200.0,0.743439
18350.0,0.744637
18400.0,0.745089
18450.0,0.745542
18700.0,0.747857
18850.0,0.749055
18900.0,0.748842
18950.0,0.748922
19050.0,0.748736
19300.0,0.746473
19400.0,0.743332
19450.0,0.740644
19500.0,0.735480
19550.0,0.727415
19650.0,0.696699
19700.0,0.672372
19800.0,0.599681
19850.0,0.551371
20000.0,0.372797
20050.0,0.309689
20150.0,0.194410
20200.0,0.146420
20250.0,0.106415
20300.0,0.074554
20400.0,0.032659
20450.0,0.020362
20500.0,0.012217
20550.0,0.007027
20600.0,0.003886
20750.0,0.000506
20950.0,0.000027
21000.0,0.000000
