wave,trans
4550.0,0.000000
4600.0,0.000080
4650.0,0.001384
4700.0,0.013841
4750.0,0.068752
4800.0,0.183444
4850.0,0.294916
4900.0,0.344850
4950.0,0.353394
5000.0,0.352489
5050.0,0.353287
5200.0,0.368033
5400.0,0.408997
5450.0,0.421373
5600.0,0.463029
5750.0,0.510194
5900.0,0.554325
5950.0,0.566649
6100.0,0.591882
6150.0,0.597258
6250.0,0.605696
6300.0,0.610168
6350.0,0.613841
6550.0,0.620176
6650.0,0.618206
6750.0,0.615491
6850.0,0.616183
7050.0,0.615411
7150.0,0.612164
7200.0,0.610860
7250.0,0.610248
7350.0,0.608491
7400.0,0.603301
7450.0,0.585015
7500.0,0.536252
7550.0,0.444637
7600.0,0.315890
7650.0,0.183897
7700.0,0.084695
7750.0,0.030104
7800.0,0.008092
7900.0,0.000240
7950.0,0.000027
8000.0,0.000000
