wave,trans
10750.0,0.000000
10800.0,0.000053
10850.0,0.000186
10950.0,0.002422
11000.0,0.007107
11050.0,0.018339
11100.0,0.041682
11150.0,0.083923
11200.0,0.150253
11250.0,0.240644
11350.0,0.458185
11400.0,0.556801
11450.0,0.633271
11500.0,0.685254
11550.0,0.715624
11600.0,0.731248
11650.0,0.738701
11700.0,0.741682
11800.0,0.744371
11850.0,0.744823
11900.0,0.745701
12100.0,0.748443
12150.0,0.749428
12250.0,0.750812
12350.0,0.752329
12500.0,0.753607
12750.0,0.753500
12950.0,0.752702
13050.0,0.752941
13200.0,0.753873
13300.0,0.754671
13450.0,0.756375
13650.0,0.759276
13750.0,0.761299
13800.0,0.761858
13900.0,0.763588
14000.0,0.763721
14100.0,0.760128
14150.0,0.755230
14250.0,0.730636
14350.0,0.664067
14400.0,0.608038
14550.0,0.364759
14600.0,0.277322
14650.0,0.198376
14700.0,0.132978
14800.0,0.048523
14850.0,0.026298
14950.0,0.006149
15000.0,0.002635
15050.0,0.001038
15150.0,0.000133
15250.0,0.000000
